id,product_title,product_sku,product_stock,product_wholsale_price,product_suggested_retail,product_color,product_memory,product_brand
27078,p5,,4,5000,5500,,16 GB,Motorola
27076,test,,,456,345,Black,64-gb,motorola
27075,test,,,345,876,Black,32-gb,motorola
27074,test,,,345,234,Black,16-gb,motorola
27073,test,,,567,745,White,64-gb,motorola
27072,test,,,456,345,White,32-gb,motorola
27071,test,,,456,876,White,16-gb,motorola
27070,test,,,345,567,Pink,64-gb,motorola
27069,test,agrade-pink-moto-32gb,10,456,786,Pink,32-gb,motorola
27068,test,,,456,567,Pink,16-gb,motorola
27062,Iphone 7,iphone7-white-sku,11,555,666,white,256-gb,apple
