product_title,product_sku,product_stock,product_wholsale_price,product_color,product_memory,product_condition,product_brand
p5,,,,White,"16 GB","A Grade",Motorola
P4,,,,,"128 GB,64 GB","A Grade",Blackberry
Iphone7,,,,,256-gb,a-grade,apple
test,,,,,64-gb,a-grade,motorola
test,,,,,32-gb,a-grade,motorola
test,,,,,16-gb,a-grade,motorola
test,,,,,64-gb,a-grade,motorola
test,,,,,32-gb,a-grade,motorola
test,,,,,16-gb,a-grade,motorola
test,,,,,64-gb,a-grade,motorola
test,agrade-pink-moto-32gb,,,,32-gb,a-grade,motorola
test,,,,,16-gb,a-grade,motorola
